Student_Index,Attorneys and Law Offices,Engineering,Arts and Crafts,Management,Online Advertising,Public Relations,Web Design and Development,Human Resources,Media,Art Dealers and Galleries,State,District,Faculty_Domain,GOT,Employed
UG1003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEGERI SEMBILAN,Seremban,LAW,No,No
UG1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,Ulu Langat,FAC,Yes,Yes
UG1005,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,SELANGOR,Sepang,IT,Yes,Yes
UG1006,0.0,0.0,0.0,0.0,0.0,15.0,0.0,8.0,0.0,0.0,JOHOR,Kulai,IT,No,Yes
UG1007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MELAKA,Melaka Tengah,ENGINEERING,No,Yes
UG1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,Ulu Langat,MANAGEMENT,No,No_data
UG1009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,Ulu Langat,FCM,No,No
UG101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,Gombak,FCA,No,Yes
UG1010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SABAH,Penampang,FCM,Yes,No
UG1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JOHOR,Johor Bahru,ENGINEERING,Yes,Yes
UG1012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JOHOR,Kluang,IT,No,Yes
UG1013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KEDAH,Kulim,LAW,No,Yes
UG1014,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,SABAH,Kota Kinabalu,IT,No,Yes
UG1015,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,MELAKA,Melaka Tengah,MANAGEMENT,Yes,No
UG1016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,OVERSEAS,No_data,MANAGEMENT,No,No
UG1017,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,JOHOR,Muar,ENGINEERING,No,Yes
UG1018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,KEDAH,Kubang Pasu,ENGINEERING,No,Yes
UG1019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MELAKA,Alor Gajah,ENGINEERING,Yes,No
UG102,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PAHANG,No_data,MANAGEMENT,Yes,No_data
UG1020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JOHOR,Kota Tinggi,IT,Yes,No
UG1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,Sepang,ENGINEERING,No,Yes
UG1022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,Ulu Langat,MANAGEMENT,Yes,Yes
UG1023,8.0,0.0,6.0,0.0,0.0,8.0,1.0,8.0,0.0,4.0,PULAU PINANG,Timor Laut,MANAGEMENT,No,No
UG1024,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,MELAKA,Melaka Tengah,IT,Yes,Yes
UG1025,1.0,8.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,NEGERI SEMBILAN,Seremban,MANAGEMENT,Yes,No_data
UG1026,8.0,0.0,6.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,MELAKA,Alor Gajah,IT,Yes,No
UG1027,4.0,0.0,6.0,0.0,0.0,8.0,0.0,8.0,3.0,0.0,SELANGOR,Gombak,ENGINEERING,No,No_data
UG1028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,Ulu Langat,MANAGEMENT,Yes,No
UG1029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEGERI SEMBILAN,Seremban,ENGINEERING,No,No
UG103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MELAKA,Melaka Tengah,MANAGEMENT,Yes,Yes
UG1030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OVERSEAS,No_data,MANAGEMENT,No,No
UG1035,1.0,1.0,1.0,1.0,1.0,8.0,1.0,5.0,1.0,0.0,SELANGOR,Kuala Langat,MANAGEMENT,Yes,Yes
UG1036,8.0,8.0,6.0,1.0,8.0,7.0,8.0,8.0,1.0,6.0,MELAKA,Melaka Tengah,MANAGEMENT,Yes,Yes
UG1037,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,MELAKA,Melaka Tengah,MANAGEMENT,Yes,Yes
UG1038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,JOHOR,Kluang,MANAGEMENT,No,Yes
UG1039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KUALA LUMPUR,Tiada - K.Lumpur,MANAGEMENT,No,Yes
UG104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,Petaling,MANAGEMENT,Yes,No_data
UG1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JOHOR,Johor Bahru,FCM,Yes,Yes
UG1041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SELANGOR,Klang,MANAGEMENT,No,Yes
UG1043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MELAKA,Melaka Tengah,ENGINEERING,No,Yes
