Index,Employed,Main_job_Title,Campus,Study_Program,Faculty_domain,Credit_transfer,T1_GPA,T2_GPA,T3_GPA,T4_GPA,T5_GPA,T6_GPA,T7_GPA,T8_GPA,T9_GPA,T10_GPA,T11_GPA,T12_GPA,Sponsor_category,Entry_eligibility,BM_Score,BI_Score,Muet_Score,Matematik,Sejarah,Matematik_Tambahan,Fizik,Kimia,Biologi,PENDIDIKAN_MORAL,Bahasa_Ci,Prinsip_Akaun,Sains,Permanent_address_state,Nationality,Race,Gender,Disability,Status,JS_Job_sector,JS_Job_sub_sector,Super_sector,major_minor
U2022_1165,Yes,Lawyer,MLAKA,L.L.B. (Hons),LAW,No,2.00-2.49,2.50-2.99,2.50-2.99,2.50-2.99,3.00-3.49,3.00-3.49,2.50-2.99,2.50-2.99,no_data,2.50-2.99,2.00-2.49,3.50-4.00,Self-sponsored,IPTS,A,A,Band 4,A,A,C,B,B,B,A,no_data,no_data,no_data,JOHOR,Malaysian,Indian,Female,No,Single,Services,Lawyer/Legal Asst,3,0
U2022_1167,Yes,Legal Counsel,MLAKA,L.L.B. (Hons),LAW,No,2.00-2.49,3.00-3.49,2.50-2.99,3.00-3.49,2.50-2.99,3.00-3.49,3.00-3.49,2.50-2.99,no_data,2.50-2.99,2.00-2.49,3.00-3.49,Self-sponsored,IPTS,A,A,Band 4,A,A,B,A,B,B,no_data,no_data,A,no_data,SELANGOR,Malaysian,Indian,Male,No,Single,Services,Lawyer/Legal Asst,3,0
U2022_1168,Yes,Auditing Accountant,CYBER,B.Acc. (Hons),MANAGEMENT,No,3.50-4.00,2.50-2.99,3.00-3.49,3.00-3.49,3.00-3.49,3.50-4.00,3.00-3.49,3.00-3.49,no_data,3.50-4.00,3.50-4.00,3.00-3.49,Loan,IPTS,B,B,Band 4,B,B,no_data,no_data,no_data,no_data,B,B,A,B,SELANGOR,Malaysian,Chinese,Female,No,Other,Accounting/Finance,Audit & Taxation,2,0
U2022_1170,Yes,Lawyer,MLAKA,L.L.B. (Hons),LAW,No,2.00-2.49,3.00-3.49,2.50-2.99,2.00-2.49,2.50-2.99,2.00-2.49,2.50-2.99,2.00-2.49,no_data,2.00-2.49,0-1.99,3.50-4.00,Self-sponsored,IPTS,A,A,Band 4,A,A,B,no_data,no_data,no_data,no_data,no_data,C,A,PERAK,Malaysian,Malay,Female,No,Other,Services,Lawyer/Legal Asst,3,0
U2022_1171,Yes,Software Engineer,MLAKA,B.I.T. (Hons) (Security Tech.),IT,No,no_data,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,no_data,3.50-4.00,3.50-4.00,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,A,A,A,A,A,A,A,A,no_data,no_data,JOHOR,Malaysian,Chinese,Female,No,Single,Computer/Information Technology,IT-Software,1,0
U2022_1173,Yes,Accounting Analyst,CYBER,B.Acc. (Hons),MANAGEMENT,No,2.00-2.49,2.00-2.49,2.50-2.99,2.00-2.49,3.00-3.49,3.00-3.49,2.50-2.99,2.50-2.99,3.50-4.00,3.00-3.49,3.50-4.00,no_data,Self-sponsored,IPTS,A,A,Band 3,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,SELANGOR,Malaysian,Malay,Female,No,Single,Accounting/Finance,General/Cost Accounting,2,0
U2022_1174,Yes,Business Data Analyst,CYBER,B. Analytical Econs. (Hons),MANAGEMENT,No,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,no_data,no_data,no_data,Scholarship,IPTS,A,A,Band 5,A,A,A,A,A,A,no_data,no_data,no_data,no_data,JOHOR,Malaysian,Malay,Male,No,Other,Computer/Information Technology,IT-Software,1,0
U2022_1175,Yes,University Research Assistant,CYBER,B.E. (Hons) (Electronics-Nano),ENGINEERING,No,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,no_data,3.50-4.00,3.00-3.49,3.50-4.00,Scholarship,IPTS,A,A,Band 5,A,A,A,A,A,A,A,no_data,no_data,no_data,SELANGOR,Malaysian,Indian,Female,No,Single,Education/Training,Education,4,1
U2022_1177,Yes,Graphic Designer,CYBER,B.MM. (Hons) (Adv. Design),FCM,Yes,3.00-3.49,2.50-2.99,2.50-2.99,no_data,3.00-3.49,2.50-2.99,no_data,2.50-2.99,3.00-3.49,no_data,no_data,no_data,Self-sponsored,IPTS,B,A,Band 3,C,B,no_data,D,D,C,no_data,no_data,no_data,no_data,SELANGOR,Malaysian,Malay,Male,No,Single,Arts/Media/Communications,Arts/Creative Design,4,1
U2022_1178,Yes,Executive Bank Employee,CYBER,B.Acc. (Hons),MANAGEMENT,No,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.00-3.49,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,no_data,3.50-4.00,Loan,IPTS,C,A,Band 4,A,A,B,B,B,no_data,A,B,A,no_data,NEGERI SEMBILAN,Malaysian,Chinese,Male,No,Other,Accounting/Finance,Banking/Financial,2,0
U2022_1179,Yes,Shop Salesman,MLAKA,L.L.B. (Hons),LAW,No,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.00-3.49,3.50-4.00,3.50-4.00,3.50-4.00,no_data,3.00-3.49,3.00-3.49,3.50-4.00,Loan,IPTS,A,A,Band 5,A,A,A,A,A,A,A,A,no_data,no_data,SELANGOR,Malaysian,Chinese,Female,No,Single,Services,Lawyer/Legal Asst,3,0
U2022_1180,Yes,Microprogramming Engineer,CYBER,B.C.S (Hons) Data Science,IT,No,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,no_data,3.50-4.00,3.50-4.00,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,JOHOR,Malaysian,Chinese,Male,No,Single,Computer/Information Technology,IT-Hardware,1,0
U2022_1182,Yes,Administrative Clerk,MLAKA,B.B.A. (Hons) (Banking & Fin.),MANAGEMENT,Yes,2.50-2.99,3.50-4.00,3.50-4.00,3.50-4.00,no_data,3.50-4.00,no_data,no_data,no_data,no_data,no_data,no_data,Loan,Diploma,D,D,Band 3,C,C,no_data,no_data,no_data,no_data,D,B,A,C,JOHOR,Malaysian,Chinese,Male,No,Single,Admin/Human Resources,Clerical/Administrative Support,3,0
U2022_1183,Yes,Software Engineer,CYBER,B.C.S (Hons) Software Eng.,IT,No,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,3.50-4.00,no_data,3.50-4.00,3.50-4.00,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,A,A,A,A,A,B,B,no_data,no_data,no_data,SELANGOR,Malaysian,Chinese,Male,No,Single,Computer/Information Technology,IT-Software,1,0
U2022_1184,Yes,Technician,MLAKA,B.E. (Hons) (Robo. & Auto.),ENGINEERING,Yes,2.00-2.49,3.50-4.00,3.00-3.49,3.00-3.49,3.00-3.49,3.50-4.00,3.00-3.49,3.50-4.00,no_data,3.50-4.00,no_data,no_data,Loan,Diploma,A,B,Band 4,A,A,D,C,D,no_data,no_data,no_data,no_data,no_data,MELAKA,Malaysian,Malay,Male,No,Single,Engineering,Mechanical,4,1
U2022_1185,Yes,Audit Executive,CYBER,B.Fin. (Hons),MANAGEMENT,No,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,Loan,IPTS,A,A,Band 4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,KEDAH,Malaysian,Indian,Female,No,Single,Accounting/Finance,Audit & Taxation,2,0
U2022_1186,Yes,Law Clerk,MLAKA,L.L.B. (Hons),LAW,No,2.50-2.99,3.50-4.00,3.00-3.49,2.50-2.99,2.50-2.99,3.00-3.49,2.50-2.99,2.50-2.99,no_data,2.50-2.99,2.00-2.49,2.50-2.99,Self-sponsored,IPTS,A,A,Band 4,A,B,C,B,C,C,no_data,no_data,no_data,no_data,SARAWAK,Malaysian,Indian,Female,No,Single,Services,Lawyer/Legal Asst,3,0
U2022_1187,Yes,Pembangun Back-end ,MLAKA,B.I.T. (Hons) (Security Tech.),IT,Yes,2.50-2.99,2.00-2.49,3.50-4.00,3.50-4.00,no_data,3.50-4.00,3.50-4.00,no_data,no_data,no_data,no_data,no_data,Loan,Diploma,B,C,Band 4,A,B,C,D,D,no_data,A,C,no_data,no_data,JOHOR,Malaysian,Chinese,Male,No,Single,Computer/Information Technology,IT-Software,1,0
